time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451000000	11.2553	21.0344	4.85276	3.17987	0.584947	lidar	0.711747	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9992	20.9966	4.86908	3.21934	0.596193	radar	4.21458	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7903	20.9589	4.81532	3.25425	0.602349	lidar	0.659259	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5433	20.9553	4.8028	3.2653	0.570149	radar	5.36793	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2638	20.9809	4.87564	3.2723	0.54747	lidar	3.29275	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0256	20.9618	4.86969	3.29275	0.538975	radar	1.016	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83264	20.9219	4.79926	3.32142	0.542239	lidar	1.68182	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.6022	20.91	4.75839	3.3258	0.505436	radar	2.49425	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40918	20.8573	4.69815	3.35553	0.511064	lidar	0.994114	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18947	20.8154	4.68487	3.37779	0.508176	radar	1.47367	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89653	20.7825	4.78262	3.38954	0.492897	lidar	2.33948	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.6827	20.7039	4.7601	3.42239	0.502232	radar	4.36857	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40569	20.6199	4.83455	3.44863	0.501917	lidar	2.80317	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17783	20.5403	4.837	3.47636	0.506029	radar	0.0620715	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93494	20.4599	4.85971	3.49935	0.503347	lidar	0.144054	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71865	20.3746	4.86385	3.52961	0.515188	radar	3.42176	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41023	20.3154	4.97943	3.53229	0.490417	lidar	3.59638	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17955	20.2187	4.9744	3.55444	0.485507	radar	0.246212	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91457	20.1354	5.02472	3.56673	0.472855	lidar	0.762894	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69115	20.0433	5.00368	3.58347	0.46267	radar	0.556135	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44254	19.9516	5.03192	3.59696	0.452745	lidar	0.403182	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22727	19.8579	5.00993	3.61413	0.447162	radar	2.89466	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96371	19.7639	5.06077	3.62214	0.432272	lidar	0.922125	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.73309	19.6199	5.10511	3.65621	0.451821	radar	1.81451	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55548	19.4978	5.04237	3.68451	0.458455	lidar	1.36225	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35367	19.3494	5.03776	3.716	0.46865	radar	1.71569	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14042	19.2477	5.0244	3.72689	0.456569	lidar	1.99224	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95133	19.1349	4.95911	3.73947	0.440113	radar	4.70497	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78704	18.985	4.91097	3.77204	0.451427	lidar	0.667559	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57774	18.8354	4.94617	3.79582	0.456524	radar	1.49771	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
